name,handedness,count,attribute,value
Mel Stottlemyre,R,737,height,72.0
David Green,R,737,height,75.0
Reid Nichols,R,737,height,71.0
Rick Reichardt,R,737,height,75.0
Luis Tiant,R,737,height,72.0
Alex Sanchez,R,737,height,74.0
Leon Roberts,R,737,height,75.0
Ray Burris,R,737,height,77.0
Paul Wilmet,R,737,height,71.0
Tom Grieve,R,737,height,74.0
Bob Forsch,R,737,height,76.0
Danny Cater,R,737,height,72.0
Bill Schroeder,R,737,height,74.0
Ron Reed,R,737,height,78.0
Fred Howard,R,737,height,75.0
Davey Johnson,R,737,height,73.0
Ellis Valentine,R,737,height,76.0
John Hoover,R,737,height,74.0
Dick Allen,R,737,height,71.0
Doug Ault,R,737,height,75.0
Mark Wagner,R,737,height,72.0
Mike Walters,R,737,height,77.0
Jake Wood,R,737,height,73.0
Bob Brower,R,737,height,71.0
Ray Culp,R,737,height,72.0
Ivan Murrell,R,737,height,74.0
Garth Iorg,R,737,height,71.0
Bob Brenly,R,737,height,74.0
Jim Rooker,R,737,height,72.0
Colby Ward,R,737,height,74.0
Jerry Morales,R,737,height,70.0
Davey Lopes,R,737,height,69.0
Catfish Hunter,R,737,height,72.0
Mario Soto,R,737,height,72.0
Jimmy Wynn,R,737,height,70.0
Hank Allen,R,737,height,72.0
Jim Fregosi,R,737,height,73.0
Pepe Frias,R,737,height,70.0
Mike Schmidt,R,737,height,74.0
Rey Quinones,R,737,height,71.0
Chuck Porter,R,737,height,75.0
Bert Campaneris,R,737,height,70.0
Bobby Valentine,R,737,height,70.0
Rob Andrews,R,737,height,72.0
Tom Dozier,R,737,height,74.0
Ron Swoboda,R,737,height,74.0
Bob Barton,R,737,height,72.0
Joe Torre,R,737,height,74.0
Al Ferrara,R,737,height,73.0
Rick Steirer,R,737,height,76.0
Sixto Lezcano,R,737,height,70.0
Al Lachowicz,R,737,height,75.0
Dave Nicholson,R,737,height,74.0
Freddie Patek,R,737,height,65.0
Ken Hubbs,R,737,height,74.0
Pepe Mangual,R,737,height,70.0
Tom McCarthy,R,737,height,72.0
Tom Lawless,R,737,height,71.0
Jerry Moses,R,737,height,75.0
Bobby Bonds,R,737,height,73.0
Dave McNally,R,737,height,71.0
Roy Foster,R,737,height,72.0
Denis Menke,R,737,height,72.0
Hal Breeden,R,737,height,74.0
Manny Trillo,R,737,height,73.0
Jackie Gutierrez,R,737,height,71.0
Fred Kendall,R,737,height,73.0
Mike Anderson,R,737,height,74.0
Jim Lewis,R,737,height,75.0
Joe Charboneau,R,737,height,74.0
Jimmie Schaffer,R,737,height,69.0
Junior Kennedy,R,737,height,71.0
Rod Gilbreath,R,737,height,74.0
Mark Brouhard,R,737,height,73.0
Chris Speier,R,737,height,73.0
Mike Fischlin,R,737,height,73.0
Don Money,R,737,height,73.0
Joe Rudi,R,737,height,74.0
Jim Rice,R,737,height,74.0
Shawn Holman,R,737,height,74.0
Alan Wirth,R,737,height,76.0
Gil Garrido,R,737,height,69.0
Marty Perez,R,737,height,71.0
Jerry Grote,R,737,height,70.0
Jim Beauchamp,R,737,height,74.0
Terry Wilshusen,R,737,height,74.0
Ron Brand,R,737,height,67.0
Leo Cardenas,R,737,height,71.0
Steve Ellsworth,R,737,height,80.0
Ron Cey,R,737,height,70.0
Skip Jutze,R,737,height,71.0
Ron LeFlore,R,737,height,72.0
Bill Russell,R,737,height,72.0
